currentstockprice,lastprice,optionschain
$212.64,23.05,191115C00195000
$212.64,19.45,191115C00200000
$212.64,16.05,191115C00205000
$212.64,13.00,191115C00210000
$212.64,10.51,191115C00215000
$212.64,8.09,191115C00220000
$212.64,6.05,191115C00225000
$212.64,4.43,191115C00230000
$212.64,13.81,190816C00192500
$212.64,11.55,190816C00195000
$212.64,9.00,190816C00197500
$212.64,6.40,190816C00200000
$212.64,3.90,190816C00202500
$212.64,1.35,190816C00205000
$212.64,0.01,190816C00207500
$212.64,0.01,190816C00210000
$212.64,0.01,190816C00212500
$212.64,0.01,190816C00215000
$212.64,0.01,190816C00217500
$212.64,0.01,190816C00220000
$212.64,0.01,190816C00222500
$212.64,0.01,190816C00225000
$212.64,21.25,191018C00195000
$212.64,0.01,190816C00227500
$212.64,0.01,190816C00230000
$212.64,0.01,190816C00232500
$212.64,20.15,190823C00192500
$212.64,17.60,190823C00195000
$212.64,14.95,190823C00197500
$212.64,12.75,190823C00200000
$212.64,9.90,190823C00202500
$212.64,7.84,190823C00205000
$212.64,5.54,190823C00207500
$212.64,17.00,191018C00200000
$212.64,13.45,191018C00205000
$212.64,10.50,191018C00210000
$212.64,7.75,191018C00215000
$212.64,5.45,191018C00220000
$212.64,3.61,191018C00225000
$212.64,2.29,191018C00230000
$212.64,3.40,190823C00210000
$212.64,1.69,190823C00212500
$212.64,0.61,190823C00215000
$212.64,0.18,190823C00217500
$212.64,0.08,190823C00220000
$212.64,0.03,190823C00222500
$212.64,0.01,190823C00225000
$212.64,0.01,190823C00227500
$212.64,0.01,190823C00230000
$212.64,0.01,190823C00232500
$212.64,21.25,190830C00192500
$212.64,18.05,190830C00195000
$212.64,15.25,190830C00197500
$212.64,13.30,190830C00200000
$212.64,10.75,190830C00202500
$212.64,8.50,190830C00205000
$212.64,6.60,190830C00207500
$212.64,5.00,190830C00210000
$212.64,3.44,190830C00212500
$212.64,2.17,190830C00215000
$212.64,1.25,190830C00217500
$212.64,0.65,190830C00220000
$212.64,0.32,190830C00222500
$212.64,0.16,190830C00225000
$212.64,0.09,190830C00227500
$212.64,0.06,190830C00230000
$212.64,24.80,191220C00195000
$212.64,20.85,191220C00200000
$212.64,17.70,191220C00205000
$212.64,14.70,191220C00210000
$212.64,12.16,191220C00215000
$212.64,9.80,191220C00220000
$212.64,7.75,191220C00225000
$212.64,5.92,191220C00230000
$212.64,29.11,200417C00195000
$212.64,25.16,200417C00200000
$212.64,21.90,200417C00205000
$212.64,19.83,200417C00210000
$212.64,17.55,200417C00215000
$212.64,14.85,200417C00220000
$212.64,12.60,200417C00225000
$212.64,11.02,200417C00230000
$212.64,28.45,200320C00195000
$212.64,24.49,200320C00200000
$212.64,21.97,200320C00205000
$212.64,19.00,200320C00210000
$212.64,16.25,200320C00215000
$212.64,13.85,200320C00220000
$212.64,11.75,200320C00225000
$212.64,9.85,200320C00230000
$212.64,31.00,200619C00195000
$212.64,27.48,200619C00200000
